displayName,marketType,itemCategoryCode,itemCode,kindCode,productRankCode,countryCode,convertKgYn,itemNameHint,unitHint
쌀,RETAIL,100,111,01|05,04,1101,Y,쌀,20kg
찹쌀,RETAIL,100,112,01,04,1101,Y,찹쌀,1kg
콩,RETAIL,100,141,01,04,1101,Y,콩,500g
팥,RETAIL,100,142,00,04,1101,Y,팥,500g
녹두,RETAIL,100,143,00,04,1101,Y,녹두,500g
고구마,RETAIL,100,151,00,04,1101,Y,고구마,1kg
감자,RETAIL,100,152,01|04,04,1101,Y,감자,100g
배추,RETAIL,200,211,01|02|03|06,04,1101,Y,배추,1포기
양배추,RETAIL,200,212,00,04,1101,Y,양배추,1포기
시금치,RETAIL,200,213,00,04,1101,Y,시금치,100g
상추,RETAIL,200,214,01|02,04,1101,Y,상추,100g
얼갈이배추,RETAIL,200,215,00,04,1101,Y,얼갈이배추,1kg
수박,RETAIL,200,221,00,04,1101,Y,수박,1개
참외,RETAIL,200,222,00,04,1101,Y,참외,10개
오이,RETAIL,200,223,01|02|03,04,1101,Y,오이,10개
호박,RETAIL,200,224,01|02,04,1101,Y,호박,1개
토마토,RETAIL,200,225,00,04,1101,Y,토마토,1kg
딸기,RETAIL,200,226,00,04,1101,Y,딸기,100g
무,RETAIL,200,231,01|02|03|06,04,1101,Y,무,1개
당근,RETAIL,200,232,00|01|02,04,1101,Y,당근,1kg
열무,RETAIL,200,233,00,04,1101,Y,열무,1kg
건고추,RETAIL,200,241,00|01|02|03,04,1101,Y,건고추,600g
풋고추,RETAIL,200,242,00|02|03|04,04,1101,Y,풋고추,100g
붉은고추,RETAIL,200,243,00,04,1101,Y,붉은고추,100g
피마늘,RETAIL,200,244,02|08,04,1101,Y,피마늘,1kg
양파,RETAIL,200,245,00|02,04,1101,Y,양파,1kg
파,RETAIL,200,246,00|02,04,1101,Y,파,1kg
생강,RETAIL,200,247,00,04,1101,Y,생강,1kg
가지,RETAIL,200,251,00,04,1101,Y,가지,10개
미나리,RETAIL,200,252,00,04,1101,Y,미나리,100g
깻잎,RETAIL,200,253,00,04,1101,Y,깻잎,100g
부추,RETAIL,200,254,00,04,1101,Y,부추,1kg
피망,RETAIL,200,255,00,04,1101,Y,피망,100g
파프리카,RETAIL,200,256,00,04,1101,Y,파프리카,200g
멜론,RETAIL,200,257,00,04,1101,Y,멜론,1개
깐마늘(국산),RETAIL,200,258,01,04,1101,Y,깐마늘(국산),1kg
알배기배추,RETAIL,200,279,00,04,1101,Y,알배기배추,1포기
브로콜리,RETAIL,200,280,00,04,1101,Y,브로콜리,1개
방울토마토,RETAIL,200,422,01|02,04,1101,Y,방울토마토,1kg
참깨,RETAIL,300,312,01,04,1101,Y,참깨,500g
땅콩,RETAIL,300,314,01,04,1101,Y,땅콩,100g
느타리버섯,RETAIL,300,315,00|01,04,1101,Y,느타리버섯,100g
팽이버섯,RETAIL,300,316,00,04,1101,Y,팽이버섯,150g
새송이버섯,RETAIL,300,317,00,04,1101,Y,새송이버섯,100g
사과,RETAIL,400,411,01|05|06|07,04,1101,Y,사과,10개
배,RETAIL,400,412,01|02|03|04,04,1101,Y,배,10개
복숭아,RETAIL,400,413,01|04|05,04,1101,Y,복숭아,10개
포도,RETAIL,400,414,03|07|08|09|10|11,04,1101,Y,포도,1kg
감귤,RETAIL,400,415,00,04,1101,Y,감귤,10개
단감,RETAIL,400,416,00,04,1101,Y,단감,10개
바나나,RETAIL,400,418,02,04,1101,Y,바나나,100g
참다래,RETAIL,400,419,01|02,04,1101,Y,참다래,10개
파인애플,RETAIL,400,420,02,04,1101,Y,파인애플,1개
오렌지,RETAIL,400,421,02|03|04|05|06,04,1101,Y,오렌지,10개
레몬,RETAIL,400,424,00,04,1101,Y,레몬,10개
체리,RETAIL,400,425,00,04,1101,Y,체리,100g
망고,RETAIL,400,428,00,04,1101,Y,망고,1개
